Product Name,Price,Discount,Battery,Display,Ratings,Reviews,Camera,Actual Price,Processor,RAM,ROM,brand,type
"vivo T3x 5G (Celestial Green, 128 GB)",15499.0,24.0,6000 mAh Battery,17.06 cm (6.7165354 inch) Full HD+ Display,27827.0,1418.0,50MP + 2MP | 8MP Front Camera,20499.0,6 Gen 1 Processor,8.0,128.0,vivo,Android
"vivo T2 Pro 5G (New Moon Black, 256 GB)",23999.0,14.0,4600 mAh Battery,17.22 cm (6.78 inch) Full HD+ Display,123257.0,9195.0,64MP + 2MP | 16MP Front Camera,27999.0,Dimensity 7200 Processor,8.0,256.0,vivo,Android
"vivo Y200 5G (Desert Gold, 256 GB)",23299.0,19.0,4800 mAh Battery,16.94 cm (6.67 inch) Full HD+ AMOLED Display,3241.0,219.0,64MP + 2MP | 16MP Front Camera,28999.0,4 Gen 1 Processor,8.0,256.0,vivo,Android
"vivo Y28s 5G (Vintage Red, 128 GB)",15999.0,27.0,5000 mAh Battery,16.66 cm (6.56 inch) Display,321.0,16.0,50MP + 0.08MP | 8MP Front Camera,21999.0,Dimensity 6300 Processor,8.0,128.0,vivo,Android
"vivo Y28e 5G (Breeze Green, 64 GB)",10999.0,26.0,5000 mAh Battery,16.66 cm (6.56 inch) Display,620.0,17.0,13MP + 0.08MP | 5MP Front Camera,14999.0,Dimensity 6300 Processor,4.0,64.0,vivo,Android
"vivo V50 5G (Titanium Grey, 128 GB)",34999.0,12.0,6000 mAh Battery,17.2 cm (6.77 inch) Display,454.0,60.0,50MP + 50MP | 50MP Front Camera,39999.0,7 Gen 3 Processor,8.0,128.0,vivo,Android
"vivo T2x 5G (Black Gladiator, 128 GB)",12999.0,31.0,5000 mAh Battery,16.71 cm (6.58 inch) Full HD+ Display,448995.0,23707.0,50MP + 2MP | 8MP Front Camera,18999.0,Mediatek Dimensity 6020 Processor,6.0,128.0,vivo,Android
"vivo T2x 5G (Marine Blue, 128 GB)",12999.0,31.0,5000 mAh Battery,16.71 cm (6.58 inch) Full HD+ Display,448995.0,23707.0,50MP + 2MP | 8MP Front Camera,18999.0,Mediatek Dimensity 6020 Processor,6.0,128.0,vivo,Android
"vivo Y28s 5G (Vintage Red, 128 GB)",14490.0,27.0,5000 mAh Battery,16.66 cm (6.56 inch) Full HD+ Display,857.0,45.0,50MP + 0.08MP | 8MP Front Camera,19999.0,Dimensity 6300 Processor,6.0,128.0,vivo,Android
"vivo Y02 (Sunset Gold, 32 GB)",7999.0,38.0,5000 mAh Battery,16.54 cm (6.51 inch) Display,1416.0,61.0,8MP Rear Camera,12999.0,12 Months,3.0,32.0,vivo,Android
